ID,CN_Key,CN_Code,Name
5024,292100000080,2921,Amine-function compounds
5059,292200000080,2922,Oxygen-function amino-compounds
5084,292300000080,2923,Quaternary ammonium salts and hydroxides; lec
5090,292400000080,2924,Carboxyamide-function compounds; amide-functi
5103,292500000080,2925,Carboxyimide-function compounds (including sa
5113,292600000080,2926,Nitrile-function compounds
5125,292900000080,2929,Compounds with other nitrogen function
5129,293000000080,2930,Organo-sulphur compounds
5145,293100000080,2931,Other organo-inorganic compounds
5164,293200000080,2932,Heterocyclic compounds with oxygen hetero-ato
5182,293300000080,2933,Heterocyclic compounds with nitrogen hetero-a
5245,293400000080,2934,"Nucleic acids and their salts, whether or not"
5258,293500000080,2935,Sulphonamides
5268,293600000080,2936,"Provitamins and vitamins, natural or reproduc"
5280,293700000080,2937,"Hormones, prostaglandins, thromboxanes and le"
5293,293800000080,2938,"Glycosides, natural or reproduced by synthesi"
5299,293900000080,2939,"Alkaloids, natural or reproduced by synthesis"
5327,294100000080,2941,Antibiotics
5338,300100000080,3001,Glands and other organs for organo-therapeuti
5347,300200000080,3002,Human blood; animal blood prepared for therap
5362,300300000080,3003,"Medicaments (excluding goods of heading 3002,"
5375,300400000080,3004,"Medicaments (excluding goods of heading 3002,"
5390,300500000080,3005,"Wadding, gauze, bandages and similar articles"
5399,300600000080,3006,Pharmaceutical goods specified in note 4 to t
5415,310200000080,3102,"Mineral or chemical fertilisers, nitrogenous"
5432,310300000080,3103,"Mineral or chemical fertilisers, phosphatic"
5437,310400000080,3104,"Mineral or chemical fertilisers, potassic"
5444,310500000080,3105,Mineral or chemical fertilisers containing tw
5459,320100000080,3201,Tanning extracts of vegetable origin; tannins
5465,320200000080,3202,Synthetic organic tanning substances; inorgan
5471,320400000080,3204,"Synthetic organic colouring matter, whether o"
5484,320600000080,3206,Other colouring matter; preparations as speci
5496,320700000080,3207,"Prepared pigments, prepared opacifiers and pr"
5505,320800000080,3208,Paints and varnishes (including enamels and l
5520,320900000080,3209,Paints and varnishes (including enamels and l
